,split,audio_path,shape,Q,A
0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0236.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
1,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0236.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
2,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0271.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
3,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0271.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
4,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0231.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
5,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0231.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
6,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0264.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
7,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0264.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
8,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0010.wav,5_1,How is the articulation in the piece?,The piece is played with staccato articulation.
9,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0010.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
10,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/staccato0010.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
11,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0306.wav,5_1,What is the stylistic period of the piece? Who is the potential composer?,This is a short technical excercise for student. It could be from Hanon or Schmitt.
12,train,/data/EECS-MachineListeningLab/datasets/LLaQo/music_shape_dataset/5_1/sample0306.wav,5_1,"Which difficulty level is the piece, in a scale of 9?",1
