audio_path,question,output,output_rating,gt,question_id,question_category,mae
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,1,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,2,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?",['4'],4.0,1,4,coordination,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4'],4.0,1,5,tone production,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?",['5'],5.0,1,6,articulation,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?",['4'],4.0,1,9,rhythm and tempo,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['4'],4.0,5,10,rhythm and tempo,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['4'],4.0,1,11,articulation,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?",['4'],4.0,0,12,tone production,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?",['5'],5.0,1,13,dynamics,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,1,summary,3.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/63218989c6190f3921803af0_64463bdb0d12a78974fbd091.wav,"How would you rate the overall performance, on a scale of 0 to 6?",['6'],6.0,3,2,summary,3.0
