,name,s1,s2,s3,split,audio_path,rating,Q,A
0,CZ1511-01,80.0,83.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-01.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
0,CZ1511-01,80.0,83.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-01.wav,4.5,What kind of performance might this be?,This is a student's performance.
0,CZ1511-01,80.0,83.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-01.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
1,CZ1511-02,78.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-02.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
1,CZ1511-02,78.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-02.wav,4.0,What kind of performance might this be?,This is a student's performance.
1,CZ1511-02,78.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-02.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
2,CZ1511-03,70.0,60.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-03.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
2,CZ1511-03,70.0,60.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-03.wav,3.5,What kind of performance might this be?,This is a student's performance.
2,CZ1511-03,70.0,60.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-03.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
3,CZ1511-04,74.0,60.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-04.wav,3.5,"How would you rate the performance, in a scale of 5?",3.5
3,CZ1511-04,74.0,60.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-04.wav,3.5,What kind of performance might this be?,This is a student's performance.
3,CZ1511-04,74.0,60.0,70.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-04.wav,3.5,"Which difficulty level is the piece, in a scale of 9?",3
4,CZ1511-05,93.0,90.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-05.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
4,CZ1511-05,93.0,90.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-05.wav,5.0,What kind of performance might this be?,This is a student's performance.
4,CZ1511-05,93.0,90.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-05.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
5,CZ1511-06,90.0,83.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-06.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
5,CZ1511-06,90.0,83.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-06.wav,4.5,What kind of performance might this be?,This is a student's performance.
5,CZ1511-06,90.0,83.0,85.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-06.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
6,CZ1511-07,80.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-07.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
6,CZ1511-07,80.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-07.wav,4.0,What kind of performance might this be?,This is a student's performance.
6,CZ1511-07,80.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-07.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
7,CZ1511-08,88.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-08.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
7,CZ1511-08,88.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-08.wav,4.5,What kind of performance might this be?,This is a student's performance.
7,CZ1511-08,88.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-08.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
8,CZ1511-09,90.0,85.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-09.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
8,CZ1511-09,90.0,85.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-09.wav,4.5,What kind of performance might this be?,This is a student's performance.
8,CZ1511-09,90.0,85.0,88.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-09.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
9,CZ1511-10,90.0,93.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-10.wav,5.0,"How would you rate the performance, in a scale of 5?",5.0
9,CZ1511-10,90.0,93.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-10.wav,5.0,What kind of performance might this be?,This is a student's performance.
9,CZ1511-10,90.0,93.0,95.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-10.wav,5.0,"Which difficulty level is the piece, in a scale of 9?",3
10,CZ1511-11,86.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-11.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
10,CZ1511-11,86.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-11.wav,4.5,What kind of performance might this be?,This is a student's performance.
10,CZ1511-11,86.0,75.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-11.wav,4.5,"Which difficulty level is the piece, in a scale of 9?",3
11,CZ1511-12,84.0,77.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-12.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
11,CZ1511-12,84.0,77.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-12.wav,4.0,What kind of performance might this be?,This is a student's performance.
11,CZ1511-12,84.0,77.0,75.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-12.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
12,CZ1511-13,82.0,65.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-13.wav,4.0,"How would you rate the performance, in a scale of 5?",4.0
12,CZ1511-13,82.0,65.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-13.wav,4.0,What kind of performance might this be?,This is a student's performance.
12,CZ1511-13,82.0,65.0,80.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-13.wav,4.0,"Which difficulty level is the piece, in a scale of 9?",3
13,CZ1511-14,80.0,83.0,87.0,train,/data/EECS-MachineListeningLab/datasets/LLaQo/YCU-PPE-III/raw/1/wav/CZ1511-14.wav,4.5,"How would you rate the performance, in a scale of 5?",4.5
