,id,technique,title,upload_date,duration,view_count,like_count,dislike_count,comment_count,webpage_url,channel_url,Scales,Arpeggios,Ornaments,Repeatednotes,Doublenotes,Octave,Staccato,split,audio_path,Q,A
154,v72Hi1TIAFQ,Scales,拜厄钢琴基础教程 Beyer  Scale in C major  C 大调音阶,20221128.0,41.0,179.0,8.0,,,https://www.youtube.com/watch?v=v72Hi1TIAFQ,https://www.youtube.com/channel/UCIWgLXbZZgMgNGeQbQqkpRA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/v72Hi1TIAFQ.wav,What is the primary piano technique used in this track?,Scales
215,Doublenotes_6,Doublenotes,Doublenotes_6.wav,,30.67734693877551,,,,,,,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/Doublenotes_6.wav,What is the primary piano technique used in this track?,Doublenotes
15,7sdmulntks4,Arpeggios,钢琴速成教程 第十课：弹琶音奏法,20130829.0,79.0,43338.0,181.0,,4.0,https://www.youtube.com/watch?v=7sdmulntks4,https://www.youtube.com/channel/UCmubt_IUS3usW59oU6PbrSg,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/7sdmulntks4.wav,What is the primary piano technique used in this track?,Arpeggios
173,9pmAuRz7AjE_cut,Staccato,"Burgmüller: The Hunt, Op. 100 No. 9 | Cory Hall, pianist-composer",20130703.0,72.0,70240.0,673.0,,55.0,https://www.youtube.com/watch?v=9pmAuRz7AjE,https://www.youtube.com/channel/UCuHRjYQVbZ1r48LL8MODEtw,0,0,0,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/9pmAuRz7AjE_cut.wav,What is the most prominent piano technique employed in this track?,Staccato
158,FEjU3QR3Sds,Scales,G- Melodic (hands together) #GMinorMelodic #pianoscales #gminor #shorts #shortstrending #shortvideo,20240130.0,19.0,137.0,2.0,,0.0,https://www.youtube.com/watch?v=FEjU3QR3Sds,https://www.youtube.com/channel/UCkdJNU5qf-10UM4QjQWoIXA,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/FEjU3QR3Sds.wav,What is the most prominent piano technique employed in this track?,Scales
125,3XcgoAl5WvI_cut,Repeatednotes,Repeated Notes at the Piano,,28.0,,,,,,,0,0,0,1,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/3XcgoAl5WvI_cut.wav,What is the primary piano technique used in this track?,Repeatednotes
97,JRiumYw-buA_cut4,Repeatednotes|Staccato,Scarlatti - Selected Sonatas (Pletnev),20180709.0,2277.0,274213.0,3994.0,,148.0,https://www.youtube.com/watch?v=JRiumYw-buA,https://www.youtube.com/channel/UCn8_44BnszBokQ8LOc8WlMA,0,0,0,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/JRiumYw-buA_cut4.wav,What is the most prominent piano technique employed in this track?,Repeatednotes
25,sxlXBMYkbkQ,Arpeggios,琶音變奏曲～婕安納～庭瑜～110/12/12鋼琴演奏,20211212.0,53.0,45.0,0.0,,0.0,https://www.youtube.com/watch?v=sxlXBMYkbkQ,https://www.youtube.com/channel/UCzWtHHaZEJVaCLs0EDt0HtQ,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/sxlXBMYkbkQ.wav,What is the primary piano technique used in this track?,Arpeggios
60,VZiM-rLNUos_cut,Octave,"Vanessa Wagner plays Philip Glass ""Etude n°9"" (piano solo) HD",20190622.0,143.0,7528.0,149.0,,4.0,https://www.youtube.com/watch?v=VZiM-rLNUos,https://www.youtube.com/channel/UCKN3o7bXVPlPkrSeRjTHQIA,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/VZiM-rLNUos_cut.wav,Which piano technique stands out the most in this composition?,Octave
68,X9RX0Du0X_w,Octave,Octave scale slow practice #shorts @minoracademy,20221118.0,24.0,26.0,4.0,,0.0,https://www.youtube.com/watch?v=X9RX0Du0X_w,https://www.youtube.com/channel/UCIfbBxLO7MPlXv1s60TAhoA,0,0,0,0,0,1,0,train,/data/scratch/acw630/PianoJudge/techniques/X9RX0Du0X_w.wav,What piano technique is most noticeable?,Octave
126,fjkKhLkyIMo,Scales,Beyer Op.101; No.109；Elementary Method for the Piano,20201120.0,128.0,253.0,3.0,,0.0,https://www.youtube.com/watch?v=fjkKhLkyIMo,https://www.youtube.com/channel/UChQGlAB7klnGt749PaS7tww,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/fjkKhLkyIMo.wav,What piano technique is most noticeable?,Scales
163,uDZdMMWyxtM,Scales,Scale 示範,20130525.0,41.0,448.0,0.0,,0.0,https://www.youtube.com/watch?v=uDZdMMWyxtM,https://www.youtube.com/channel/UCaoUg6bLUqQ89UVnxCjeZJg,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/uDZdMMWyxtM.wav,What piano technique is most noticeable?,Scales
142,6VQ1wr28kik_cut,Scales,"Week Four: Scales and Hanon Exercise No. 1 (A Major, rhythmic accents) [62 bpm]",20201008.0,572.0,22.0,1.0,,0.0,https://www.youtube.com/watch?v=6VQ1wr28kik,https://www.youtube.com/channel/UCNrfNue6QWutjqgc2dzOL1Q,1,0,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/6VQ1wr28kik_cut.wav,What is the primary piano technique used in this track?,Scales
115,nIs3jechQ_E_cut,Repeatednotes|Octave|Staccato,György Ligeti - Musica Ricercata [1/11],20110726.0,160.0,1174574.0,9803.0,,624.0,https://www.youtube.com/watch?v=nIs3jechQ_E,https://www.youtube.com/channel/UCajumbCDJv6mBoVysAcUaJA,0,0,0,1,0,1,1,train,/data/scratch/acw630/PianoJudge/techniques/nIs3jechQ_E_cut.wav,Which piano technique stands out the most in this composition?,Repeatednotes
45,MwJ8MV26eZs,Doublenotes,拜厄钢琴基础教程 No97,20171202.0,37.0,2226.0,12.0,,1.0,https://www.youtube.com/watch?v=MwJ8MV26eZs,https://www.youtube.com/channel/UCDxpW90bwh941_tu5_RojRQ,0,0,0,0,1,0,0,train,/data/scratch/acw630/PianoJudge/techniques/MwJ8MV26eZs.wav,What is the most prominent piano technique employed in this track?,Doublenotes
9,71qZ-BnhenI,Arpeggios,Czerny Etude n°30 op 299,20150425.0,63.0,1133.0,19.0,,1.0,https://www.youtube.com/watch?v=71qZ-BnhenI,https://www.youtube.com/channel/UCcpjY-kCFFlRtyhRFAgvdPQ,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/71qZ-BnhenI.wav,Can you identify the dominant piano technique in this track?,Arpeggios
100,uLa3OowW05o,Ornaments|Repeatednotes|Staccato,The Cleanest Ornaments I've Ever Heard (Transcribed),20220127.0,26.0,261276.0,10160.0,,280.0,https://www.youtube.com/watch?v=uLa3OowW05o,https://www.youtube.com/channel/UCD2rzhVnf_zRPgpLjae0POQ,0,0,1,1,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/uLa3OowW05o.wav,Can you identify the dominant piano technique in this track?,Ornaments
96,JRiumYw-buA_cut3,Ornaments|Staccato,Scarlatti - Selected Sonatas (Pletnev),20180709.0,2277.0,274213.0,3994.0,,148.0,https://www.youtube.com/watch?v=JRiumYw-buA,https://www.youtube.com/channel/UCn8_44BnszBokQ8LOc8WlMA,0,0,1,0,0,0,1,train,/data/scratch/acw630/PianoJudge/techniques/JRiumYw-buA_cut3.wav,Which piano technique stands out the most in this composition?,Ornaments
18,hkgt_NcQF6s,Arpeggios,Advanced Arpeggio Exercise: Demonstration  進階琶音練習: 示範,20140228.0,85.0,2032.0,12.0,,,https://www.youtube.com/watch?v=hkgt_NcQF6s,https://www.youtube.com/channel/UCmsahNiREeL6c6aQV1uFHFQ,0,1,0,0,0,0,0,train,/data/scratch/acw630/PianoJudge/techniques/hkgt_NcQF6s.wav,What is the primary piano technique used in this track?,Arpeggios
